"ActionType","Description"
"AccountCheckedForBlankPassword","An account was checked for a blank password."
"AntivirusDefinitionsUpdated","Security intelligence updates for Windows Defender Antivirus were applied successfully."
"AntivirusDefinitionsUpdateFailed","Security intelligence updates for Windows Defender Antivirus were not applied."
"AntivirusDetection","Windows Defender Antivirus detected a threat."
"AntivirusEmergencyUpdatesInstalled","Emergency security intelligence updates for Windows Defender Antivirus were applied."
"AntivirusError","Windows Defender Antivirus encountered an error while taking action on malware or a potentially unwanted application."
"AntivirusMalwareActionFailed","Windows Defender Antivirus attempted to take action on malware or a potentially unwanted application but the action failed."
"AntivirusMalwareBlocked","Windows Defender Antivirus blocked files or activity involving malware potentially unwanted applications or suspicious behavior."
"AntivirusScanCancelled","A Windows Defender Antivirus scan was cancelled."
"AntivirusScanCompleted","A Windows Defender Antivirus scan completed successfully."
"AntivirusScanFailed","A Windows Defender Antivirus scan did not complete successfully."
"AntivirusTroubleshootModeEvent","The troubleshooting mode in Microsoft Defender Antivirus was used."
"AppControlAppInstallationAudited","Application control detected the installation of an untrusted app."
"AppControlAppInstallationBlocked","Application control blocked the installation of an untrusted app."
"AppControlCIScriptAudited","A script or MSI file generated by Windows LockDown Policy was audited."
"AppControlCIScriptBlocked","A script or MSI file generated by Windows LockDown Policy was blocked."
"AppControlCodeIntegrityDriverRevoked","Application control found a driver with a revoked certificate."
"AppControlCodeIntegrityImageAudited","Application control detected an executable file that violated code integrity policies."
"AppControlCodeIntegrityImageRevoked","Application control found an executable file with a revoked certificate."
"AppControlCodeIntegrityOriginAllowed","Application control allowed a file due to its good reputation (ISG) or installation source (managed installer)."
"AppControlCodeIntegrityOriginAudited","Application control would have blocked a file due to its bad reputation (ISG) or installation source (managed installer) if the policy was enforced."
"AppControlCodeIntegrityOriginBlocked","Application control blocked a file due to its bad reputation (ISG) or installation source (managed installer)."
"AppControlCodeIntegrityPolicyAudited","Application control detected a code integrity policy violation."
"AppControlCodeIntegrityPolicyBlocked","Application control blocked a code integrity policy violation."
"AppControlCodeIntegrityPolicyLoaded","An application control code integrity policy was loaded."
"AppControlCodeIntegritySigningInformation","Application control signing information was generated."
"AppControlExecutableAudited","Application control detected the use of an untrusted executable."
"AppControlExecutableBlocked","Application control blocked the use of an untrusted executable."
"AppControlPackagedAppAudited","Application control detected the use of an untrusted packaged app."
"AppControlPackagedAppBlocked","Application control blocked the installation of an untrusted packaged app."
"AppControlPolicyApplied","An application control policy was applied to the device."
"AppControlScriptAudited","Application control detected the use of an untrusted script."
"AppControlScriptBlocked","Application control blocked the use of an untrusted script."
"AppGuardBrowseToUrl","A URL was accessed from within an application guard container."
"AppGuardCreateContainer","Application guard initiated an isolated container."
"AppGuardLaunchedWithUrl","The opening of an untrusted URL has initiated an application guard container."
"AppGuardResumeContainer","Application guard resumed an isolated container from a suspended state."
"AppGuardStopContainer","Application guard stopped an isolated container."
"AppGuardSuspendContainer","Application guard suspended an isolated container."
"AppLockerBlockExecutable","AppLocker prevented an untrusted executable from running."
"AppLockerBlockPackagedApp","AppLocker prevented an untrusted packaged app from running."
"AppLockerBlockPackagedAppInstallation","AppLocker prevented the installation of an untrusted packaged app."
"AppLockerBlockScript","AppLocker prevented an untrusted script from running."
"AsrAdobeReaderChildProcessAudited","An attack surface reduction rule detected Adobe Reader creating a child process."
"AsrAdobeReaderChildProcessBlocked","An attack surface reduction rule blocked Adobe Reader from creating a child process."
"AsrExecutableEmailContentAudited","An attack surface reduction rule detected the launch of executable content from an email client and or webmail."
"AsrExecutableEmailContentBlocked","An attack surface reduction rule blocked executable content from an email client and or webmail."
"AsrExecutableOfficeContentAudited","An attack surface reduction rule detected an Office application creating executable content."
"AsrExecutableOfficeContentBlocked","An attack surface reduction rule blocked an Office application from creating executable content."
"AsrLsassCredentialTheftAudited","An attack surface reduction rule detected possible credential theft from lsass.exe."
"AsrLsassCredentialTheftBlocked","An attack surface reduction rule blocked possible credential theft from lsass.exe."
"AsrObfuscatedScriptAudited","An attack surface reduction rule detected the execution of scripts that appear obfuscated."
"AsrObfuscatedScriptBlocked","An attack surface reduction rule blocked the execution of scripts that appear obfuscated."
"AsrOfficeChildProcessAudited","An attack surface reduction rule detected an Office application spawning a child process."
"AsrOfficeChildProcessBlocked","An attack surface reduction rule blocked an Office application from creating child processes."
"AsrOfficeCommAppChildProcessAudited","An attack surface reduction rule detected an Office communication app attempting to spawn a child process."
"AsrOfficeCommAppChildProcessBlocked","An attack surface reduction rule blocked an Office communication app from spawning a child process."
"AsrOfficeMacroWin32ApiCallsAudited","An attack surface reduction rule detected Win32 API calls from Office macros."
"AsrOfficeMacroWin32ApiCallsBlocked","An attack surface reduction rule blocked Win32 API calls from Office macros."
"AsrOfficeProcessInjectionAudited","An attack surface reduction rule detected an Office application injecting code into other processes."
"AsrOfficeProcessInjectionBlocked","An attack surface reduction rule blocked an Office application from injecting code into other processes."
"AsrPersistenceThroughWmiAudited","An attack surface reduction rule detected an attempt to establish persistence through WMI event subscription."
"AsrPersistenceThroughWmiBlocked","An attack surface reduction rule blocked an attempt to establish persistence through WMI event subscription."
"AsrPsexecWmiChildProcessAudited","An attack surface reduction rule detected the use of PsExec or WMI commands to spawn a child process."
"AsrPsexecWmiChildProcessBlocked","An attack surface reduction rule blocked the use of PsExec or WMI commands to spawn a child process."
"AsrRansomwareAudited","An attack surface reduction rule detected ransomware activity."
"AsrRansomwareBlocked","An attack surface reduction rule blocked ransomware activity."
"AsrScriptExecutableDownloadAudited","An attack surface reduction rule detected JavaScript or VBScript code launching downloaded executable content."
"AsrScriptExecutableDownloadBlocked","An attack surface reduction rule blocked JavaScript or VBScript code from launching downloaded executable content."
"AsrUntrustedExecutableAudited","An attack surface reduction rule detected the execution of an untrusted file that doesn't meet criteria for age or prevalence."
"AsrUntrustedExecutableBlocked","An attack surface reduction rule blocked the execution of an untrusted file that doesn't meet criteria for age or prevalence."
"AsrUntrustedUsbProcessAudited","An attack surface reduction rule detected the execution of an untrusted and unsigned processes from a USB device."
"AsrUntrustedUsbProcessBlocked","An attack surface reduction rule blocked the execution of an untrusted and unsigned processes from a USB device."
"AsrVulnerableSignedDriverAudited","An attack surface reduction rule detected a signed driver that has known vulnerabilities."
"AsrVulnerableSignedDriverBlocked","An attack surface reduction rule blocked a signed driver that has known vulnerabilities."
"AuditPolicyModification","Changes in the Windows audit policy (which feed events to the event log)."
"BitLockerAuditCompleted","An audit for BitLocker encryption was completed."
"BluetoothPolicyTriggered","A Bluetooth service activity was allowed or blocked by a device control policy."
"BrowserLaunchedToOpenUrl","A web browser opened a URL that originated as a link in another application."
"ControlFlowGuardViolation","Control Flow Guard terminated an application after detecting an invalid function call"
"ControlledFolderAccessViolationAudited","Controlled folder access detected an attempt to modify a protected folder."
"ControlledFolderAccessViolationBlocked","Controlled folder access blocked an attempt to modify a protected folder."
"CreateRemoteThreadApiCall","A thread that runs in the virtual address space of another process was created."
"CredentialsBackup","The backup feature in Credential Manager was initiated"
"DeviceBootAttestationInfo","System Guard generated a boot-time attestation report."
"DirectoryServiceObjectCreated","An object was added to the directory service."
"DirectoryServiceObjectModified","An object in the directory service was modified."
"DlpPocPrintJob","A file was sent to a printer device for printing."
"DnsQueryRequest","A DNS request was initiated."
"DnsQueryResponse","A response to a DNS query was sent."
"DpapiAccessed","Decription of saved sensitive data encrypted using DPAPI."
"DriverLoad","A driver was loaded."
"ExploitGuardAcgAudited","Arbitrary code guard (ACG) in exploit protection detected an attempt to modify code page permissions or create unsigned code pages."
"ExploitGuardAcgEnforced","Arbitrary code guard (ACG) blocked an attempt to modify code page permissions or create unsigned code pages."
"ExploitGuardChildProcessAudited","Exploit protection detected the creation of a child process."
